,CAMPAÑA
0,CONCURSO/ENTRETENIMIENTO
1,NOTICIERO
2,DEPORTIVO
3,REVISTA INFORMATIVA
4,LARGOMETRAJE
5,DEPORTES
6,TELENOVELA
7,ESPECIALIZADO
8,SERIE
9,HUMORISTICO
10,VARIEDADES
11,DOCUMENTAL
12,POLVO
13,OPINION
14,AVANCES
15,MUSICAL
16,CULINARIO
17,RELIGIOSO
18,EXPECTATIVA
