,GENERO
0,LARGOMETRAJE
1,DEPORTIVO
2,HUMORISTICO
3,NOTICIERO
4,REVISTA INFORMATIVA
5,OPINION
6,CONCURSO/ENTRETENIMIENTO
7,INFANTIL
8,SERIE
9,TELENOVELA
10,MUSICAL
11,DOCUMENTAL
12,CULINARIO
13,ESPECIALIZADO
14,CONTROL
